Male Height in Cm
183.78
183.30
182.79
182.47
182.10
181.89
181.19
181.17
181.02
180.98
180.98
180.76
180.74
180.72
180.69
180.57
180.48
180.46
180.28
180.15
179.72
179.48
179.26
179.09
179.04
178.96
178.84
178.84
178.77
178.75
178.73
178.70
178.69
178.60
178.52
178.46
178.32
178.32
178.21
177.82
177.72
177.49
177.19
177.09
177.03
176.97
176.94
176.85
176.65
176.59
176.43
176.43
176.39
176.36
176.35
176.18
176.11
176.06
176.03
175.98
175.98
175.90
175.73
175.66
175.62
175.59
175.52
175.50
175.11
175.05
175.04
175.02
174.96
174.84
174.83
174.76
174.69
174.65
174.57
174.51
174.42
174.42
174.40
174.38
174.37
174.37
174.32
174.17
174.08
174.07
174.04
174.00
173.98
173.84
173.81
173.79
173.71
173.67
173.56
173.53
173.53
173.50
173.27
173.16
173.01
172.88
172.76
172.75
172.23
172.15
172.13
172.07
172.06
171.89
171.85
171.84
171.70
171.66
171.64
171.61
171.55
171.30
171.23
171.22
170.94
170.77
170.70
170.69
170.67
170.67
170.67
170.62
170.60
170.52
170.48
170.46
170.37
170.30
170.29
170.26
170.19
170.14
170.09
169.91
169.75
169.63
169.59
169.57
169.57
169.41
169.20
169.01
168.89
168.84
168.74
168.60
168.50
168.46
168.44
168.43
168.36
168.29
168.23
168.18
168.17
168.10
168.07
167.92
167.87
167.72
167.62
167.34
167.33
167.32
167.05
166.98
166.75
166.70
166.50
166.43
166.31
166.26
166.02
165.68
165.54
165.48
165.35
165.26
165.23
165.16
165.08
164.42
164.36
164.36
164.30
163.10
163.07
162.78
160.13
